Order Country,Orders,Delayed,On_Time_or_Early,Avg_Delay_Gap_Days,Delay_Rate,On_Time_or_Early_Rate,Efficiency_Index,Regional_Delay_Index
Nepal,80,48,32,0.625,60.0,40.0,40.0,104.73039190923143
Afganistán,155,93,62,0.5870967741935483,60.0,40.0,40.0,104.73039190923143
Tailandia,862,517,345,0.6322505800464037,59.976798143851504,40.023201856148496,40.023201856148496,104.68989291777389
Bangladés,457,274,183,0.6542669584245077,59.95623632385121,40.0437636761488,40.0437636761488,104.65400212665725
Kazajistán,264,158,106,0.7424242424242424,59.84848484848485,40.15151515151515,40.15151515151515,104.46592122259197
Bélgica,620,371,249,0.6403225806451613,59.83870967741935,40.16129032258065,40.16129032258065,104.44885859764747
Suecia,910,544,366,0.6384615384615384,59.78021978021978,40.21978021978022,40.21978021978022,104.34676410004012
Arabia Saudí,830,496,334,0.5421686746987951,59.75903614457832,40.24096385542168,40.24096385542168,104.30978792566023
Albania,37,22,15,0.35135135135135137,59.45945945945946,40.54054054054054,40.54054054054054,103.78687486500414
Nicaragua,2886,1716,1170,0.615038115038115,59.45945945945946,40.54054054054054,40.54054054054054,103.78687486500414
Uganda,96,57,39,0.6354166666666666,59.375,40.625,40.625,103.6394503268436
Egipto,1125,667,458,0.5155555555555555,59.28888888888889,40.71111111111111,40.71111111111111,103.48914281993684
Pakistán,741,438,303,0.5344129554655871,59.10931174089069,40.89068825910931,40.89068825910931,103.17568973514028
Martinica,107,63,44,0.5420560747663551,58.87850467289719,41.1214953271028,41.1214953271028,102.77281449036731
Alemania,9154,5383,3771,0.5861918287087612,58.80489403539436,41.19510596460564,41.19510596460564,102.64432664179463
Venezuela,921,541,380,0.6069489685124865,58.74049945711184,41.25950054288817,41.25950054288817,102.53192548478867
Tanzania,359,210,149,0.415041782729805,58.495821727019504,41.5041782729805,41.5041782729805,102.10483890872146
India,4589,2684,1905,0.6162562649814775,58.48768794944432,41.51231205055568,41.51231205055568,102.09064134683561
Uzbekistán,120,70,50,0.6916666666666667,58.333333333333336,41.66666666666667,41.66666666666667,101.82121435619725
Suiza,302,176,126,0.7483443708609272,58.27814569536424,41.72185430463576,41.72185430463576,101.72488397364643
Mali,103,60,43,0.3883495145631068,58.252427184466015,41.74757281553398,41.74757281553398,101.67999214488488
Francia,12612,7341,5271,0.6026799873136696,58.206470028544246,41.793529971455754,41.793529971455754,101.59977362903953
El Salvador,3599,2091,1508,0.6104473464851348,58.09947207557655,41.90052792442345,41.90052792442345,101.413008003243
Rusia,966,561,405,0.6490683229813664,58.07453416149069,41.92546583850932,41.92546583850932,101.36947871131616
Turquía,3263,1894,1369,0.6089488201041986,58.044744100520994,41.955255899479006,41.955255899479006,101.31747996531021
Indonesia,4021,2328,1693,0.5759761253419547,57.89604575976125,42.10395424023874,42.10395424023874,101.05792604024322
España,3729,2154,1575,0.56047197640118,57.763475462590506,42.236524537409494,42.236524537409494,100.8265237206063
Filipinas,2015,1162,853,0.5493796526054591,57.66749379652606,42.33250620347395,42.33250620347395,100.65898709555579
Estados Unidos,23720,13670,10050,0.5827571669477234,57.63069139966274,42.36930860033727,42.36930860033727,100.59474827144422
Zambia,259,149,110,0.667953667953668,57.52895752895753,42.471042471042466,42.471042471042466,100.41717113562088
Guatemala,2659,1529,1130,0.5344114328694998,57.5028206092516,42.4971793907484,42.4971793907484,100.37154897155251
México,12605,7246,5359,0.5892106307021023,57.4851249504165,42.5148750495835,42.5148750495835,100.34066108347098
Azerbaiyán,68,39,29,0.5735294117647058,57.35294117647059,42.64705882352941,42.64705882352941,100.10993344264769
Países Bajos,1837,1053,784,0.5666848121937942,57.32172019597169,42.67827980402831,42.67827980402831,100.05543701725703
Zimbabue,185,106,79,0.6054054054054054,57.2972972972973,42.7027027027027,42.7027027027027,100.01280668809488
República Dominicana,3527,2020,1507,0.5922880635100652,57.272469520839245,42.727530479160755,42.727530479160755,99.96946964211678
Brasil,7579,4331,3248,0.5701279852223249,57.14474205040243,42.85525794959757,42.85525794959757,99.74652050817639
Bulgaria,149,85,64,0.5704697986577181,57.04697986577181,42.95302013422819,42.95302013422819,99.57587597633861
